school_name,district_name,county,state,grades_served,school_type,territory_status,address,city,zip,main_phone,website,latitude,longitude,nces_id,source_url,date_imported,date_verified,verification_status
Gooding High School,Gooding Joint School District,Gooding,ID,9-12,public,included,,Gooding,83330,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Gooding+High+School&State=16,2026-07-10,2026-07-10,unverified
Wendell High School,Wendell School District,Gooding,ID,9-12,public,included,,Wendell,83355,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Wendell+High+School&State=16,2026-07-10,2026-07-10,unverified
Hagerman Jr/Sr High School,Hagerman Joint School District,Gooding,ID,7-12,public,included,,Hagerman,83332,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Hagerman+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Jerome High School,Jerome Joint School District,Jerome,ID,9-12,public,included,,Jerome,83338,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Jerome+High+School&State=16,2026-07-10,2026-07-10,unverified
Canyon Ridge High School,Twin Falls School District,Twin Falls,ID,9-12,public,included,,Twin Falls,83301,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Canyon+Ridge+High+School&State=16,2026-07-10,2026-07-10,unverified
Twin Falls High School,Twin Falls School District,Twin Falls,ID,9-12,public,included,,Twin Falls,83301,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Twin+Falls+High+School&State=16,2026-07-10,2026-07-10,unverified
Magic Valley High School,Twin Falls School District,Twin Falls,ID,9-12,alternative,included,,Twin Falls,83301,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Magic+Valley+High+School&State=16,2026-07-10,2026-07-10,unverified
Buhl High School,Buhl Joint School District,Twin Falls,ID,9-12,public,included,,Buhl,83316,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Buhl+High+School&State=16,2026-07-10,2026-07-10,unverified
Filer High School,Filer School District,Twin Falls,ID,9-12,public,included,,Filer,83328,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Filer+High+School&State=16,2026-07-10,2026-07-10,unverified
Kimberly High School,Kimberly School District,Twin Falls,ID,9-12,public,included,,Kimberly,83341,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Kimberly+High+School&State=16,2026-07-10,2026-07-10,unverified
Murtaugh High School,Murtaugh Joint School District,Twin Falls,ID,9-12,public,included,,Murtaugh,83344,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Murtaugh+High+School&State=16,2026-07-10,2026-07-10,unverified
Castleford High School,Castleford School District,Twin Falls,ID,9-12,public,included,,Castleford,83321,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Castleford+High+School&State=16,2026-07-10,2026-07-10,unverified
Minico Senior High School,Minidoka County Joint School District,Minidoka,ID,9-12,public,included,,Rupert,83350,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Minico+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Burley Senior High School,Cassia County Joint School District,Cassia,ID,9-12,public,included,,Burley,83318,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Burley+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Cassia Jr/Sr High School,Cassia County Joint School District,Cassia,ID,7-12,alternative,included,,Burley,83318,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Cassia+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Declo Senior High School,Cassia County Joint School District,Cassia,ID,9-12,public,included,,Declo,83323,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Declo+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Oakley Junior/Senior High School,Cassia County Joint School District,Cassia,ID,7-12,public,included,,Oakley,83346,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Oakley+Junior%2FSenior+High+School&State=16,2026-07-10,2026-07-10,unverified
Raft River Jr/Sr High School,Cassia County Joint School District,Cassia,ID,7-12,public,included,,Malta,83342,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Raft+River+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Shoshone High School,Shoshone Joint School District,Lincoln,ID,9-12,public,included,,Shoshone,83352,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Shoshone+High+School&State=16,2026-07-10,2026-07-10,unverified
Dietrich School,Dietrich School District,Lincoln,ID,7-12,public,included,,Dietrich,83324,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Dietrich+School&State=16,2026-07-10,2026-07-10,unverified
American Falls High School,American Falls Joint School District,Power,ID,9-12,public,included,,American Falls,83211,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=American+Falls+High+School&State=16,2026-07-10,2026-07-10,unverified
Rockland Public School,Rockland School District,Power,ID,7-12,public,included,,Rockland,83271,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Rockland+Public+School&State=16,2026-07-10,2026-07-10,unverified
Highland High School,Pocatello/Chubbuck School District 25,Bannock,ID,9-12,public,included,,Pocatello,83201,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Highland+High+School&State=16,2026-07-10,2026-07-10,unverified
Pocatello High School,Pocatello/Chubbuck School District 25,Bannock,ID,9-12,public,included,,Pocatello,83204,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Pocatello+High+School&State=16,2026-07-10,2026-07-10,unverified
Century High School,Pocatello/Chubbuck School District 25,Bannock,ID,9-12,public,included,,Pocatello,83204,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Century+High+School&State=16,2026-07-10,2026-07-10,unverified
New Horizon High School,Pocatello/Chubbuck School District 25,Bannock,ID,9-12,alternative,included,,Pocatello,83201,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=New+Horizon+High+School&State=16,2026-07-10,2026-07-10,unverified
Marsh Valley High School,Marsh Valley Joint School District,Bannock,ID,9-12,public,included,,Arimo,83214,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Marsh+Valley+High+School&State=16,2026-07-10,2026-07-10,unverified
Lava Hot Springs Elementary/High School,Marsh Valley Joint School District,Bannock,ID,7-12,public,included,,Lava Hot Springs,83246,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Lava+Hot+Springs+Elementary%2FHigh+School&State=16,2026-07-10,2026-07-10,unverified
Blackfoot High School,Blackfoot School District,Bingham,ID,9-12,public,included,,Blackfoot,83221,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Blackfoot+High+School&State=16,2026-07-10,2026-07-10,unverified
Independence Alternative High School,Blackfoot School District,Bingham,ID,9-12,alternative,included,,Blackfoot,83221,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Independence+Alternative+High+School&State=16,2026-07-10,2026-07-10,unverified
Snake River High School,Snake River School District,Bingham,ID,9-12,public,included,,Blackfoot,83221,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Snake+River+High+School&State=16,2026-07-10,2026-07-10,unverified
Firth High School,Firth School District,Bingham,ID,9-12,public,included,,Firth,83236,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Firth+High+School&State=16,2026-07-10,2026-07-10,unverified
Shelley Senior High School,Shelley Joint School District,Bingham,ID,9-12,public,included,,Shelley,83274,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Shelley+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Idaho Falls Senior High School,Idaho Falls School District 91,Bonneville,ID,9-12,public,included,,Idaho Falls,83401,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Idaho+Falls+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Skyline Senior High School,Idaho Falls School District 91,Bonneville,ID,9-12,public,included,,Idaho Falls,83402,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Skyline+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Compass Academy,Idaho Falls School District 91,Bonneville,ID,9-12,public,included,,Idaho Falls,83401,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Compass+Academy&State=16,2026-07-10,2026-07-10,unverified
Bonneville High School,Bonneville Joint School District 93,Bonneville,ID,9-12,public,included,,Idaho Falls,83401,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Bonneville+High+School&State=16,2026-07-10,2026-07-10,unverified
Hillcrest High School,Bonneville Joint School District 93,Bonneville,ID,9-12,public,included,,Ammon,83406,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Hillcrest+High+School&State=16,2026-07-10,2026-07-10,unverified
Thunder Ridge High School,Bonneville Joint School District 93,Bonneville,ID,9-12,public,included,,Idaho Falls,83401,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Thunder+Ridge+High+School&State=16,2026-07-10,2026-07-10,unverified
Technical Careers High School,Bonneville Joint School District 93,Bonneville,ID,9-12,cte_career,included,,Idaho Falls,83401,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Technical+Careers+High+School&State=16,2026-07-10,2026-07-10,unverified
Ririe High School,Ririe Joint School District,Jefferson,ID,9-12,public,included,,Ririe,83443,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Ririe+High+School&State=16,2026-07-10,2026-07-10,unverified
Rigby High School,Jefferson County Joint School District,Jefferson,ID,9-12,public,included,,Rigby,83442,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Rigby+High+School&State=16,2026-07-10,2026-07-10,unverified
Madison Senior High School,Madison School District,Madison,ID,9-12,public,included,,Rexburg,83440,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Madison+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Central High School,Madison School District,Madison,ID,9-12,alternative,included,,Rexburg,83440,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Central+High+School&State=16,2026-07-10,2026-07-10,unverified
Sugar-Salem High School,Sugar-Salem Joint School District,Madison,ID,9-12,public,included,,Sugar City,83448,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Sugar-Salem+High+School&State=16,2026-07-10,2026-07-10,unverified
South Fremont High School,Fremont County Joint School District,Fremont,ID,9-12,public,included,,St. Anthony,83445,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=South+Fremont+High+School&State=16,2026-07-10,2026-07-10,unverified
North Fremont High School,Fremont County Joint School District,Fremont,ID,9-12,public,included,,Ashton,83420,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=North+Fremont+High+School&State=16,2026-07-10,2026-07-10,unverified
Teton High School,Teton School District,Teton,ID,9-12,public,included,,Driggs,83422,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Teton+High+School&State=16,2026-07-10,2026-07-10,unverified
Clark County Jr/Sr High School,Clark County School District,Clark,ID,7-12,public,included,,Dubois,83423,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Clark+County+Jr%2FSr+High+School&State=16,2026-07-10,2026-07-10,unverified
Boise Senior High School,Boise Independent District,Ada,ID,9-12,public,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Boise+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Borah Senior High School,Boise Independent District,Ada,ID,9-12,public,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Borah+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Capital Senior High School,Boise Independent District,Ada,ID,9-12,public,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Capital+Senior+High+School&State=16,2026-07-10,2026-07-10,unverified
Timberline High School,Boise Independent District,Ada,ID,9-12,public,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Timberline+High+School&State=16,2026-07-10,2026-07-10,unverified
Frank Church High School,Boise Independent District,Ada,ID,9-12,alternative,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Frank+Church+High+School&State=16,2026-07-10,2026-07-10,unverified
Dennis Technical Education Center,Boise Independent District,Ada,ID,9-12,cte_career,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Dennis+Technical+Education+Center&State=16,2026-07-10,2026-07-10,unverified
Centennial High School,West Ada School District,Ada,ID,9-12,public,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Centennial+High+School&State=16,2026-07-10,2026-07-10,unverified
Eagle High School,West Ada School District,Ada,ID,9-12,public,included,,Eagle,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Eagle+High+School&State=16,2026-07-10,2026-07-10,unverified
Eagle Academy,West Ada School District,Ada,ID,9-12,alternative,included,,Eagle,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Eagle+Academy&State=16,2026-07-10,2026-07-10,unverified
Meridian High School,West Ada School District,Ada,ID,9-12,public,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Meridian+High+School&State=16,2026-07-10,2026-07-10,unverified
Mountain View High School,West Ada School District,Ada,ID,9-12,public,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Mountain+View+High+School&State=16,2026-07-10,2026-07-10,unverified
Owyhee High School,West Ada School District,Ada,ID,9-12,public,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Owyhee+High+School&State=16,2026-07-10,2026-07-10,unverified
Rocky Mountain High School,West Ada School District,Ada,ID,9-12,public,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Rocky+Mountain+High+School&State=16,2026-07-10,2026-07-10,unverified
Renaissance High School,West Ada School District,Ada,ID,9-12,alternative,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Renaissance+High+School&State=16,2026-07-10,2026-07-10,unverified
Meridian Academy,West Ada School District,Ada,ID,9-12,alternative,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Meridian+Academy&State=16,2026-07-10,2026-07-10,unverified
Meridian Medical Arts Charter High School,West Ada School District,Ada,ID,9-12,cte_career,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Meridian+Medical+Arts+Charter+High+School&State=16,2026-07-10,2026-07-10,unverified
Meridian Technical Charter High School,West Ada School District,Ada,ID,9-12,cte_career,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Meridian+Technical+Charter+High+School&State=16,2026-07-10,2026-07-10,unverified
Rebound School of Opportunity,West Ada School District,Ada,ID,9-12,alternative,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Rebound+School+of+Opportunity&State=16,2026-07-10,2026-07-10,unverified
Idaho Fine Arts Academy,West Ada School District,Ada,ID,9-12,public,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Idaho+Fine+Arts+Academy&State=16,2026-07-10,2026-07-10,unverified
Kuna High School,Kuna Joint District,Ada,ID,9-12,public,included,,Kuna,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Kuna+High+School&State=16,2026-07-10,2026-07-10,unverified
Initial Point High School,Kuna Joint District,Ada,ID,9-12,alternative,included,,Kuna,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Initial+Point+High+School&State=16,2026-07-10,2026-07-10,unverified
Compass Public Charter School,Compass Public Charter School Inc.,Ada,ID,9-12,charter,included,,Meridian,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Compass+Public+Charter+School&State=16,2026-07-10,2026-07-10,unverified
North Star Charter School,North Star Charter School Inc.,Ada,ID,9-12,charter,included,,Eagle,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=North+Star+Charter+School&State=16,2026-07-10,2026-07-10,unverified
Sage International School of Boise,Sage International School of Boise Inc.,Ada,ID,9-12,charter,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Sage+International+School+of+Boise&State=16,2026-07-10,2026-07-10,unverified
Cardinal Academy,Cardinal Academy Incorporated,Ada,ID,9-12,charter,included,,Boise,,,,,,,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?Search=1&InstName=Cardinal+Academy&State=16,2026-07-10,2026-07-10,unverified
Bishop Kelly High School,Bishop Kelly High School,Ada,ID,9-12,private,included,,Boise,,,,,,,https://www.bk.org/,2026-07-10,2026-07-10,unverified
Riverstone International School,Riverstone International School,Ada,ID,9-12,private,included,,Boise,,,,,,,https://www.riverstoneschool.org/,2026-07-10,2026-07-10,unverified
Cole Valley Christian Schools,Cole Valley Christian Schools,Ada,ID,9-12,private,included,,Meridian,,,,,,,https://www.cvcsonline.org/,2026-07-10,2026-07-10,unverified
The Ambrose School,The Ambrose School,Ada,ID,9-12,private,included,,Meridian,,,,,,,https://theambroseschool.org/,2026-07-10,2026-07-10,unverified
Boise Christian School,Boise Christian School,Ada,ID,9-12,private,included,,Boise,,,,,,,https://boisechristian.org/,2026-07-10,2026-07-10,unverified
Gem Prep: Meridian South,Gem Innovation Schools,Ada,ID,9-12,charter,included,,Meridian,,,,,,,https://www.gemprep.org/meridiansouth,2026-07-10,2026-07-10,unverified
